"""Year""","""Month""","""Day""","""Highest Temperature""","""Lowest Temperature""","""Precipitation""","""Visibility""","""Wind Speed""","""Has_fog""","""Has_hail""","""Has_rain""","""Has_snow""","""Has_snowfall""","""Has_thunder""","""Has_tornado"""
2010,1,1,44.0,29.0,0.0,7.0,9.0,0,0,0,0,0,0,0
2010,1,2,30.0,20.0,0.0,10.0,20.0,0,0,0,0,0,0,0
2010,1,3,28.0,16.0,0.0,10.0,19.0,0,0,0,0,0,0,0
2010,1,4,34.0,23.0,0.0,10.0,12.0,0,0,0,0,0,0,0
2010,1,5,37.0,27.0,1e-16,10.0,13.0,0,0,0,1,0,0,0
2010,1,6,39.0,29.0,1e-16,10.0,14.0,0,0,0,1,0,0,0
2010,1,7,39.0,29.0,1e-16,10.0,9.0,0,0,0,1,0,0,0
2010,1,8,32.0,23.0,0.03,6.0,12.0,1,0,0,1,1,0,0
2010,1,9,36.0,23.0,0.0,10.0,13.0,0,0,0,0,0,0,0
2010,1,10,32.0,19.0,0.0,10.0,12.0,0,0,0,0,0,0,0
2010,1,11,36.0,20.0,0.0,10.0,6.0,0,0,0,0,0,0,0
2010,1,12,35.0,29.0,0.0,10.0,13.0,0,0,0,0,0,0,0
2010,1,13,44.0,27.0,0.0,10.0,6.0,0,0,0,0,0,0,0
2010,1,14,50.0,26.0,0.0,10.0,3.0,0,0,0,0,0,0,0
2010,1,15,57.0,28.0,0.0,10.0,6.0,0,0,0,0,0,0,0
2010,1,16,52.0,31.0,0.0,8.0,4.0,0,0,0,0,0,0,0
2010,1,17,45.0,37.0,0.68,4.0,8.0,0,0,1,0,0,0,0
2010,1,18,56.0,37.0,0.0,10.0,10.0,0,0,0,0,0,0,0
2010,1,19,60.0,33.0,1e-16,9.0,6.0,0,0,1,0,0,0,0
2010,1,20,44.0,35.0,0.03,9.0,8.0,0,0,1,1,0,0,0
2010,1,21,44.0,31.0,0.08,10.0,8.0,0,0,1,0,0,0,0
